endpoint,protocolo,ram
/workloads/web/10kb.html,http1,6348.8625
/workloads/web/10kb.html,http3,6352.9029296875
/workloads/web/25kb.html,http1,6382.823828125
/workloads/web/25kb.html,http3,6368.5921875
/workloads/web/50kb.html,http1,6359.9201171875
/workloads/web/50kb.html,http3,6349.2859375
/workloads/audio/1mb.mp3,http1,6360.6744140625
/workloads/audio/1mb.mp3,http3,6386.7095703125
/workloads/audio/3mb.mp3,http1,6495.730859375
/workloads/audio/3mb.mp3,http3,6933.60390625
/workloads/audio/5mb.mp3,http1,6840.21796875
/workloads/audio/5mb.mp3,http3,6624.2703125
/workloads/video/20mb.mp4,http1,6620.5796875
/workloads/video/20mb.mp4,http3,6614.6208984375
/workloads/video/35mb.mp4,http1,6812.2404296875
/workloads/video/35mb.mp4,http3,6819.035546875
/workloads/video/50mb.mp4,http1,6863.9509765625
/workloads/video/50mb.mp4,http3,6840.8599609375
